week,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2026-15,0.7646259240140694,0.8399505718494311,-1.0235130343986285,0.6439824416375466,3.0
2026-16,-0.14256426691836055,1.0050572820765518,0.3557245028979842,1.0977981824846477,17.0
2026-17,-0.0032972071653481,0.8091181792622328,-0.4442997319915483,0.9051799797534914,13.0
2026-18,0.2271640029390947,0.6422044491446705,-0.08360570277661228,0.7036098002628821,14.0
2026-19,-0.1678029739776488,0.7033004657123851,-0.25512903562325157,0.8348866519990542,24.0
2026-20,0.10831409790211048,0.9302062133242303,0.5024149261879048,0.9733209450111944,22.0
2026-21,-0.16543907583927003,0.9821259003302053,-0.3377230841764266,1.3465557792159282,20.0
2026-22,-0.04473725458920064,1.2705536884007,-0.23522387131051767,0.8796684212162925,22.0
2026-23,-0.04883752129949151,0.9135843474058308,0.06727939981688409,1.0162251062556877,29.0
2026-24,0.39746096880321374,1.1305997079987702,-0.044750803492200515,0.8908648673604935,31.0
2026-25,-0.048185338261494674,0.9405635860880732,0.04653302758960673,1.1253636542289485,37.0
2026-26,-0.3410059786192054,1.0951831391563787,0.047045988360093535,0.7964727815905219,21.0
2026-27,-0.3232176114040023,0.9344027081302791,0.20596267951698294,1.0329330549630422,20.0
2026-28,0.12862104992454654,0.8153539728045945,-0.06427941845383552,0.6799038239890182,20.0
2026-29,0.34021927769819366,1.191120996748853,0.4118455837885354,0.8698266147697272,14.0
