day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2026-04-16,0.933468979494367,1.0,-0.4982287432535696,1.0,1.0
2026-04-17,-0.15253488151482783,1.0,-1.8389920819055179,1.0,1.0
2026-04-18,1.5470232923045006,1.0,-0.8315777173938144,1.0,1.0
2026-04-21,-0.3032018262590375,1.0005255570846807,-0.13964087965022473,0.9819260727278193,5.0
2026-04-22,-1.5943503303894193,1.6381852397294525,1.3342437666817637,2.233148526002982,2.0
2026-04-23,0.30189840649057986,0.6543766660597016,-0.034768350850409434,0.9029657333807374,5.0
2026-04-24,0.8736588583885554,1.0,0.5400735836374431,1.0,1.0
2026-04-25,0.18297844132811847,1.0,0.8563296228247486,1.0,1.0
2026-04-26,0.2380336158716527,0.662320029423174,1.0933258942482507,0.8265998885812204,3.0
2026-04-27,1.0230849101564388,1.3875064774244785,0.21825525230362636,0.5562575929686864,2.0
2026-04-29,0.07103611213761607,0.7294471410026762,-1.0592204063631745,1.1031068861500462,4.0
2026-04-30,0.1189402815519629,0.30473903095115606,-0.7760134525728022,1.118939779144674,2.0
2026-05-01,-0.022831261276652772,1.0,-0.057702547863042665,1.0,1.0
2026-05-02,-0.5796845563810137,0.9899305131043795,0.0896247709893131,0.7111545929800321,3.0
2026-05-03,0.07759505641044386,1.0,0.1886821080773035,1.0,1.0
2026-05-04,-0.04297537131933675,0.39985933202860097,-0.17993423310529322,0.7133853629020511,4.0
2026-05-06,1.3969742594434496,1.0,0.4944376580141893,1.0,1.0
2026-05-07,0.5154921378540069,0.7298962361774372,-0.29063027746436937,0.7869738215530553,4.0
2026-05-08,-0.2948353959663356,0.28635523112329214,0.06135375483922234,1.5647603250850868,2.0
2026-05-09,0.4761015224466541,0.5506254981094528,0.0856332117524267,0.10763014556814336,3.0
2026-05-11,-0.48079099971292416,0.557323319812218,-0.40262579609453625,0.6825949341022737,4.0
2026-05-12,0.14267780345354278,0.6303230535112417,-0.3108094569997438,1.0100510442166837,5.0
2026-05-13,-0.16434836980810957,0.7514059290322553,0.4949909871076363,0.6923994242888375,5.0
2026-05-14,-0.16114208722548753,0.8486785788359918,-0.14720692216831235,0.660329536832703,5.0
2026-05-15,-0.7018432629801348,0.6948910746994857,-1.1026848501243685,0.7778825927676997,3.0
2026-05-16,0.6335963879144538,0.7986527163594417,-0.27433389629952776,0.9778651921007692,2.0
2026-05-18,-0.2697988805992589,0.5605107938005276,0.04312683344969098,1.119241690579062,4.0
2026-05-19,0.6949107590745869,0.6517224680496319,0.8183432302390895,0.47391793002747434,3.0
2026-05-20,0.7900030595101271,1.513882356051107,0.5440909592853321,1.2649557166614462,2.0
2026-05-21,0.5316525704811894,0.7111257406237143,1.0247965906343333,0.5768120334115657,6.0
2026-05-22,-0.016660646530445817,0.05671591531966031,-0.7210398471490057,1.0079516467348875,2.0
2026-05-24,-0.2690381187761204,1.3595804252489487,0.8149852400176434,1.2257572569420805,5.0
